Kurikulum,Jenjang,harga,Sesi / Batch,harga / batch
Nasional,SD,37500,4,150000
Nasional,SMP,43750,4,175000
Nasional,SMA,50000,4,200000
Nasional Plus,SD,50000,4,200000
Nasional Plus,SMP,56250,4,225000
Nasional Plus,SMA,75000,4,300000
Internasional,SD,50000,4,200000
Internasional,SMP,62500,4,250000
Internasional,SMA,75000,4,300000
Nasional,UTBK,75000,4,300000
Nasional,UM,75000,4,300000
Nasional Olim,SD,75000,4,300000
Nasional Olim,SMP,75000,4,300000
Nasional Olim,SMA,75000,4,300000
Internasional Olim,SD,87500,4,350000
Internasional Olim,SMP,87500,4,350000
Internasional Olim,SMA,112500,4,450000
Umum,Umum 1,62500,4,250000
Nasional,TK,37500,4,150000
Internasional,SMA (90m),112500,4,450000
Umum,Umum 2,87500,4,350000
Nasional Olim 2,SMP,90000,4,360000
Nasional 2,SMP,65625,8,525000
Nasional Olim 2,SMA,112500,4,450000
,,,,
Nasional,UTBK 2,112000,4,448000
Internasional 2,SMP,93750,4,375000
Nasional Olim SMP,SMP,81250,4,325000
Nasional Olim SMA,SMA,87500,4,350000